frame_name,headline,subheadline,price,cta,legal,persona_tag
Ad/1200x628/TrailRunner/en-US,"Go Farther. Stay Light.","Lightweight, bounce-free, breathable design for every trail",$129,Shop now,Ships free in the U.S.,Trail Runner
Ad/1200x628/TrailRunner/es-MX,"Ve Más Lejos. Más Ligero.","Diseño liviano y transpirable para cada sendero","$2,190",Compra ahora,Envío gratis en México,Trail Runner
Ad/1200x628/TrailRunner/fr-FR,"Plus Loin. Plus Léger.","Design léger et respirant pour chaque sentier",129 €,Acheter,Livraison gratuite en France,Trail Runner
Ad/1200x628/TechCommuter/en-US,"Laptop-Safe. TSA-Friendly.","Sleek design for tech professionals on the go",$129,Shop now,Ships free in the U.S.,Tech Commuter
Ad/1200x628/TechCommuter/es-MX,"Seguro. TSA-Amigable.","Diseño elegante para profesionales tech","$2,190",Compra ahora,Envío gratis en México,Tech Commuter
Ad/1200x628/TechCommuter/fr-FR,"Portable Sûr. TSA OK.","Design élégant pour professionnels tech",129 €,Acheter,Livraison gratuite en France,Tech Commuter
Ad/1200x628/BudgetExplorer/en-US,"Durable Value. Student-Friendly","Quality backpack that won't break the bank",$129,Shop now,Ships free in the U.S.,Budget Explorer
Ad/1200x628/BudgetExplorer/es-MX,"Valor Duradero. Estudiantes.","Mochila de calidad a precio accesible","$2,190",Compra ahora,Envío gratis en México,Budget Explorer
Ad/1200x628/BudgetExplorer/fr-FR,"Valeur Durable. Étudiants.","Sac de qualité à prix abordable",129 €,Acheter,Livraison gratuite en France,Budget Explorer
Ad/1200x1200/TrailRunner/en-US,"Go Farther. Stay Light.","Lightweight, bounce-free, breathable design for every trail",$129,Shop now,Ships free in the U.S.,Trail Runner
Ad/1200x1200/TrailRunner/es-MX,"Ve Más Lejos. Más Ligero.","Diseño liviano y transpirable para cada sendero","$2,190",Compra ahora,Envío gratis en México,Trail Runner
Ad/1200x1200/TrailRunner/fr-FR,"Plus Loin. Plus Léger.","Design léger et respirant pour chaque sentier",129 €,Acheter,Livraison gratuite en France,Trail Runner
Ad/1200x1200/TechCommuter/en-US,"Laptop-Safe. TSA-Friendly.","Sleek design for tech professionals on the go",$129,Shop now,Ships free in the U.S.,Tech Commuter
Ad/1200x1200/TechCommuter/es-MX,"Seguro. TSA-Amigable.","Diseño elegante para profesionales tech","$2,190",Compra ahora,Envío gratis en México,Tech Commuter
Ad/1200x1200/TechCommuter/fr-FR,"Portable Sûr. TSA OK.","Design élégant pour professionnels tech",129 €,Acheter,Livraison gratuite en France,Tech Commuter
Ad/1200x1200/BudgetExplorer/en-US,"Durable Value. Student-Friendly","Quality backpack that won't break the bank",$129,Shop now,Ships free in the U.S.,Budget Explorer
Ad/1200x1200/BudgetExplorer/es-MX,"Valor Duradero. Estudiantes.","Mochila de calidad a precio accesible","$2,190",Compra ahora,Envío gratis en México,Budget Explorer
Ad/1200x1200/BudgetExplorer/fr-FR,"Valeur Durable. Étudiants.","Sac de qualité à prix abordable",129 €,Acheter,Livraison gratuite en France,Budget Explorer
Ad/960x1200/TrailRunner/en-US,"Go Farther. Stay Light.","Lightweight, bounce-free design",$129,Shop now,Ships free in the U.S.,Trail Runner
Ad/960x1200/TrailRunner/es-MX,"Ve Más Lejos. Más Ligero.","Diseño liviano y transpirable","$2,190",Compra ahora,Envío gratis en México,Trail Runner
Ad/960x1200/TrailRunner/fr-FR,"Plus Loin. Plus Léger.","Design léger et respirant",129 €,Acheter,Livraison gratuite en France,Trail Runner
Ad/960x1200/TechCommuter/en-US,"Laptop-Safe. TSA-Friendly.","Sleek design for professionals",$129,Shop now,Ships free in the U.S.,Tech Commuter
Ad/960x1200/TechCommuter/es-MX,"Seguro. TSA-Amigable.","Diseño elegante para profesionales","$2,190",Compra ahora,Envío gratis en México,Tech Commuter
Ad/960x1200/TechCommuter/fr-FR,"Portable Sûr. TSA OK.","Design élégant pour professionnels",129 €,Acheter,Livraison gratuite en France,Tech Commuter
Ad/960x1200/BudgetExplorer/en-US,"Durable Value. Student-Friendly","Quality backpack, great value",$129,Shop now,Ships free in the U.S.,Budget Explorer
Ad/960x1200/BudgetExplorer/es-MX,"Valor Duradero. Estudiantes.","Mochila de calidad, gran valor","$2,190",Compra ahora,Envío gratis en México,Budget Explorer
Ad/960x1200/BudgetExplorer/fr-FR,"Valeur Durable. Étudiants.","Sac de qualité, excellent rapport",129 €,Acheter,Livraison gratuite en France,Budget Explorer